X,Y,NAZEV,ULICE_x,OBEC_x,ICOFIR,FIRMA40A
14.770501736201417,49.003429121986876,,Masarykovo nám. 108,Třeboň,26022907,"Budějovická komerční, s.r.o."
18.302669148684974,49.851437200540317,,Švédská 749,Ostrava,32352,"Budoucnost, spotřební družstvo v Ostravě"
14.808515651239942,49.532826223502973,,Žižkovo náměstí 191,Mladá Vožice,45127611,Bui Duc Tien
14.687863119211238,49.782909333457681,,Vnoučkova 614,Benešov,45127611,Bui Duc Tien
13.887720261982233,49.166338382943358,,Palackého 53,Volyně,60648813,Bui Hong Chuyen
12.739165593574262,49.868516810060505,,náměstí Svobody 8,Planá,519189,"Bunera, s.r.o."
14.10250331557153,50.67170689798516,,Opletalova 121,Ústí nad Labem,28675959,Cao Tinh Quach
14.811266004583276,50.731159884969685,,120,Dubnice,47782358,"CAR-HIT, v.o.s."
18.270139772837052,49.771470620265887,,Na Rovince 873,Ostrava,28642732,"Centillion Environment & Recycling CZ,"
14.091733802497631,50.009910407524849,,28,Železná,27100634,"Cihelka, s.r.o."
